Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type
1550.0,4,3.0,2,1.0,13000000,1,2,1
1600.0,3,3.0,2,1.0,30000000,1,2,1
700.0,2,2.0,2,1.0,2400000,1,2,1
45.0,4,3.0,1,1.0,5500000,1,2,1
3510.0,4,4.0,2,2.0,45000000,1,1,1
4500.0,4,4.0,2,2.0,60000000,1,2,1
1800.0,4,4.0,2,2.0,65000000,1,2,1
6000.0,5,5.0,2,4.0,220000000,1,2,1
4300.0,4,4.0,1,2.0,60000000,1,1,1
1700.0,3,3.0,2,2.0,38500000,1,2,1
2500.0,3,3.0,2,2.0,50000000,1,1,2
4500.0,4,4.0,2,2.0,75000000,1,2,1
2450.0,4,4.0,3,2.0,70000000,1,2,1
10350.0,4,7.0,2,3.0,160000000,1,2,2
4800.0,3,4.0,2,1.0,85000000,1,1,1
1600.0,3,3.0,2,2.0,40000000,1,1,2
3500.0,4,4.0,1,2.0,90000000,1,1,1
2100.0,4,5.0,2,2.0,56000000,1,2,1
4200.0,5,5.0,2,2.0,135500000,1,2,1
1500.0,3,3.0,2,2.0,60000000,1,2,1
8150.0,4,5.0,1,4.0,170000000,1,2,1
2200.0,4,4.0,2,2.0,50000000,1,1,1
3500.0,4,5.0,2,2.0,58000000,1,2,1
2070.0,3,3.0,2,2.0,37500000,1,2,1
3500.0,3,3.0,1,1.0,45000000,1,1,1
2000.0,4,4.0,2,3.0,70000000,1,2,1
2800.0,6,4.0,2,2.0,29500000,1,1,2
2550.0,4,4.0,1,1.0,60000000,1,1,1
4500.0,4,4.0,2,2.0,70000000,1,1,1
1400.0,3,3.0,2,2.0,50000000,1,2,1
2800.0,4,5.0,2,2.0,75000000,1,2,1
2700.0,4,4.0,2,2.0,52500000,1,2,1
4500.0,4,4.0,2,2.0,55000000,1,1,1
7200.0,4,4.0,2,2.0,120000000,1,1,1
2799.0,4,4.0,2,0.0,65000000,1,2,1
2650.0,4,4.0,1,2.0,75000000,1,2,1
2200.0,4,4.0,2,2.0,47500000,1,2,1
3500.0,5,5.0,2,1.0,70000000,1,2,1
2200.0,4,4.0,2,2.0,47500000,1,2,1
2200.0,4,4.0,2,1.0,40000000,1,2,1
3500.0,4,4.0,2,3.0,85000000,1,2,1
1440.0,3,3.0,2,3.0,26000000,1,2,1
3150.0,4,4.0,2,3.0,35000000,1,1,1
900.0,2,2.0,2,3.0,20000000,1,1,1
3690.0,4,5.0,2,3.0,79000000,2,2,1
1200.0,3,2.0,2,3.0,17000000,1,1,1
4500.0,4,4.0,2,2.0,47500000,1,1,1
2799.0,4,4.0,2,2.0,43000000,1,2,1
1350.0,3,3.0,1,1.0,26000000,1,2,1
1200.0,3,3.0,1,1.0,25000000,1,2,1
2177.0,4,5.0,2,2.0,51000000,1,2,1
1500.0,3,3.0,2,2.0,40000000,1,2,1
1600.0,3,3.0,1,1.0,22500000,1,1,1
4500.0,4,4.0,2,1.0,70000000,1,2,1
2150.0,4,4.0,1,2.0,45000000,1,2,1
2107.0,4,4.0,2,2.0,51100000,1,2,2
1150.0,3,3.0,2,1.0,25500000,1,2,1
1240.0,3,3.0,1,2.0,26500000,1,2,1
1000.0,2,2.0,1,1.0,15000000,1,1,1
4500.0,4,4.0,2,2.0,55000000,1,1,1
1150.0,3,3.0,2,2.0,26000000,1,2,1
2000.0,4,4.0,2,2.0,38000000,1,1,1
4500.0,4,5.0,2,2.0,72500000,1,1,1
3000.0,4,5.0,2,4.0,65000000,1,2,1
700.0,2,2.0,1,0.0,4600000,1,2,1
750.0,2,2.0,2,0.0,9200000,1,1,1
1350.0,4,3.0,1,2.0,9500000,1,1,2
900.0,2,2.0,2,1.0,4500000,1,1,1
970.0,3,2.0,2,1.0,6500000,1,1,1
1000.0,3,2.0,3,1.0,5650000,1,1,1
1425.0,3,3.0,2,1.0,9300000,1,1,1
440.0,2,2.0,1,1.0,2700000,1,1,2
1017.0,2,2.0,3,1.0,6500000,1,2,1
650.0,2,2.0,2,1.0,5800000,1,1,2
950.0,3,2.0,2,1.0,5500000,1,1,2
810.0,3,2.0,2,1.0,6000000,1,1,1
750.0,2,2.0,1,1.0,4500000,1,1,1
990.0,2,2.0,2,2.0,4100000,1,1,1
800.0,3,2.0,2,2.0,3800000,1,1,1
675.0,2,1.0,1,1.0,3300000,1,1,2
558.0,2,1.0,1,1.0,2900000,1,2,1
445.0,2,1.0,1,1.0,2000000,1,1,1
360.0,2,1.0,1,1.0,1550000,1,2,1
1350.0,4,3.0,2,1.0,11300000,1,2,1
850.0,3,2.0,2,1.0,4500000,1,1,1
846.0,2,1.0,1,1.0,3300000,1,2,2
1300.0,4,3.0,3,1.0,11500000,1,2,1
900.0,3,2.0,2,1.0,6000000,2,2,1
1050.0,3,2.0,2,1.0,9000000,1,1,2
850.0,2,2.0,3,1.0,4500000,1,1,1
1650.0,4,3.0,3,1.0,14000000,2,2,2
1150.0,2,2.0,2,1.0,7300000,1,1,2
495.1394,1,1.0,3,1.0,1900000,1,1,1
1053.0,3,2.0,3,4.0,7000000,1,1,1
810.0,3,2.0,2,1.0,6000000,1,1,1
750.0,1,2.0,2,1.0,6400000,1,1,1
540.0,2,1.0,3,1.0,2700000,1,2,2
747.0,2,2.0,3,1.0,6500000,1,1,1
720.0,2,1.0,1,1.0,4000000,1,1,1
